what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU module not set.",1379615936470
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615936471
error,log,,,"CPU architecture type not set. ",1379615936472
error,log,,,"CPU master group not set.",1379615936472
error,log,,,"Expected base address of system ID component is undefined.",1379615936473
error,log,,,"SOPC design not set.",1379615936474
error,log,,,"CPU module not set.",1379615936474
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615936474
error,log,,,"CPU architecture type not set. ",1379615936474
error,log,,,"CPU master group not set.",1379615936474
error,log,,,"Expected base address of system ID component is undefined.",1379615936475
error,log,,,"SOPC design not set.",1379615936475
error,log,,,"CPU module not set.",1379615936475
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615936476
error,log,,,"CPU architecture type not set. ",1379615936476
error,log,,,"CPU master group not set.",1379615936476
error,log,,,"Expected base address of system ID component is undefined.",1379615936476
error,log,,,"SOPC design not set.",1379615936477
error,log,,,"CPU module not set.",1379615936477
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615936477
error,log,,,"CPU architecture type not set. ",1379615936477
error,log,,,"CPU master group not set.",1379615936478
error,log,,,"Expected base address of system ID component is undefined.",1379615936478
error,log,,,"No ELF file path has been selected.",1379615936578
error,log,,,"Expected base address of system ID component is undefined.",1379615936578
