what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1379615059782
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615059782
error,log,,,"SOPC design not set.",1379615059782
error,log,,,"CPU module not set.",1379615059783
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615059783
error,log,,,"CPU architecture type not set. ",1379615059783
error,log,,,"CPU master group not set.",1379615059783
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615059784
error,log,,,"SOPC design not set.",1379615059784
error,log,,,"CPU module not set.",1379615059784
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615059784
error,log,,,"CPU architecture type not set. ",1379615059785
error,log,,,"CPU master group not set.",1379615059785
error,log,,,"Expected base address of system ID component is undefined.",1379615059785
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615059785
error,log,,,"SOPC design not set.",1379615059786
error,log,,,"CPU module not set.",1379615059786
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615059786
error,log,,,"CPU architecture type not set. ",1379615059787
error,log,,,"CPU master group not set.",1379615059787
error,log,,,"Expected base address of system ID component is undefined.",1379615059787
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615059787
error,log,,,"SOPC design not set.",1379615059788
error,log,,,"CPU module not set.",1379615059788
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615059788
