what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1379615950945
error,log,,,"CPU master group not set.",1379615950945
error,log,,,"Expected base address of system ID component is undefined.",1379615950946
error,log,,,"SOPC design not set.",1379615950946
error,log,,,"CPU module not set.",1379615950947
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615950947
error,log,,,"CPU architecture type not set. ",1379615950947
error,log,,,"CPU master group not set.",1379615950948
error,log,,,"Expected base address of system ID component is undefined.",1379615950948
error,log,,,"SOPC design not set.",1379615950949
error,log,,,"CPU module not set.",1379615950949
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615950950
error,log,,,"CPU architecture type not set. ",1379615950950
error,log,,,"CPU master group not set.",1379615950950
error,log,,,"Expected base address of system ID component is undefined.",1379615950951
error,log,,,"SOPC design not set.",1379615950951
error,log,,,"CPU module not set.",1379615950951
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615950952
error,log,,,"CPU architecture type not set. ",1379615950952
error,log,,,"CPU master group not set.",1379615950952
error,log,,,"Expected base address of system ID component is undefined.",1379615950952
error,log,,,"SOPC design not set.",1379615950953
error,log,,,"CPU module not set.",1379615950953
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615950953
error,log,,,"CPU architecture type not set. ",1379615950954
