what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615940759
error,log,,,"CPU architecture type not set. ",1379615940759
error,log,,,"CPU master group not set.",1379615940760
error,log,,,"Expected base address of system ID component is undefined.",1379615940760
error,log,,,"Select one of the available target connection paths.",1379615940760
error,log,,,"SOPC design not set.",1379615940762
error,log,,,"CPU module not set.",1379615940762
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615940762
error,log,,,"CPU architecture type not set. ",1379615940762
error,log,,,"CPU master group not set.",1379615940763
error,log,,,"Expected base address of system ID component is undefined.",1379615940763
error,log,,,"SOPC design not set.",1379615940764
error,log,,,"CPU module not set.",1379615940765
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615940765
error,log,,,"CPU architecture type not set. ",1379615940765
error,log,,,"CPU master group not set.",1379615940766
error,log,,,"Expected base address of system ID component is undefined.",1379615940766
error,log,,,"Select one of the available target connection paths.",1379615940766
error,log,,,"SOPC design not set.",1379615940768
error,log,,,"CPU module not set.",1379615940769
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615940769
error,log,,,"CPU architecture type not set. ",1379615940770
error,log,,,"CPU master group not set.",1379615940770
error,log,,,"Expected base address of system ID component is undefined.",1379615940770
error,log,,,"SOPC design not set.",1379615940772
