what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU module not set.",1379615105428
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615105428
error,log,,,"CPU architecture type not set. ",1379615105428
error,log,,,"CPU master group not set.",1379615105428
error,log,,,"Expected base address of system ID component is undefined.",1379615105429
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105429
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105429
error,log,,,"SOPC design not set.",1379615105429
error,log,,,"CPU module not set.",1379615105430
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615105430
error,log,,,"CPU architecture type not set. ",1379615105430
error,log,,,"CPU master group not set.",1379615105430
error,log,,,"Expected base address of system ID component is undefined.",1379615105431
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105431
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105431
error,log,,,"SOPC design not set.",1379615105431
error,log,,,"CPU module not set.",1379615105431
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379615105432
error,log,,,"CPU architecture type not set. ",1379615105432
error,log,,,"CPU master group not set.",1379615105432
error,log,,,"Expected base address of system ID component is undefined.",1379615105432
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105433
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379615105433
error,log,,,"SOPC design not set.",1379615106323
error,log,,,"CPU module not set.",1379615106324
