what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1379618570756
error,log,,,"SOPC design not set.",1379618570758
error,log,,,"CPU module not set.",1379618570758
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570759
error,log,,,"CPU architecture type not set. ",1379618570759
error,log,,,"CPU master group not set.",1379618570759
error,log,,,"SOPC design not set.",1379618570760
error,log,,,"CPU module not set.",1379618570760
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570760
error,log,,,"CPU architecture type not set. ",1379618570760
error,log,,,"CPU master group not set.",1379618570761
error,log,,,"Connected system ID hash not found on target at expected base address.",1379618570761
error,log,,,"Connected system timestamp not found on target at expected base address.",1379618570761
error,log,,,"SOPC design not set.",1379618570761
error,log,,,"CPU module not set.",1379618570762
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570765
error,log,,,"CPU architecture type not set. ",1379618570766
error,log,,,"CPU master group not set.",1379618570766
error,log,,,"Connected system ID hash not found on target at expected base address.",1379618570766
error,log,,,"Connected system timestamp not found on target at expected base address.",1379618570766
error,log,,,"SOPC design not set.",1379618570767
error,log,,,"CPU module not set.",1379618570767
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570767
error,log,,,"CPU architecture type not set. ",1379618570767
error,log,,,"CPU master group not set.",1379618570768
