what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1379618570774
error,log,,,"Expected base address of system ID component is undefined.",1379618570774
error,log,,,"Select one of the available target connection paths.",1379618570774
error,log,,,"SOPC design not set.",1379618570775
error,log,,,"CPU module not set.",1379618570775
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570775
error,log,,,"CPU architecture type not set. ",1379618570775
error,log,,,"CPU master group not set.",1379618570776
error,log,,,"Expected base address of system ID component is undefined.",1379618570776
error,log,,,"Select one of the available target connection paths.",1379618570776
error,log,,,"SOPC design not set.",1379618570776
error,log,,,"CPU module not set.",1379618570777
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570777
error,log,,,"CPU architecture type not set. ",1379618570777
error,log,,,"CPU master group not set.",1379618570777
error,log,,,"Expected base address of system ID component is undefined.",1379618570778
error,log,,,"SOPC design not set.",1379618570778
error,log,,,"CPU module not set.",1379618570778
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618570778
error,log,,,"CPU architecture type not set. ",1379618570779
error,log,,,"CPU master group not set.",1379618570779
error,log,,,"Expected base address of system ID component is undefined.",1379618570779
error,log,,,"SOPC design not set.",1379618571597
error,log,,,"CPU module not set.",1379618571598
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379618571599
