what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1378862706832
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1378862706832
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1378862706832
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1378862706832
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1378862706832
os,sysinfo,,,"win32",1378862706834
arch,sysinfo,,,"x86",1378862706834
ws,sysinfo,,,"win32",1378862706834
locale,sysinfo,,,"en_CA",1378862706834
processors,sysinfo,,,"4",1378862706834
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378862706834
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1378862706834
java.specification.name,sysinfo,,,"Java Platform API Specification",1378862706834
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862706834
java.specification.version,sysinfo,,,"1.6",1378862706834
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862706834
java.version,sysinfo,,,"1.6.0_14",1378862706834
java.vm.info,sysinfo,,,"mixed mode",1378862706834
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1378862706834
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378862706834
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862706834
java.vm.specification.version,sysinfo,,,"1.0",1378862706834
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1378862706834
java.vm.version,sysinfo,,,"14.0-b16",1378862706834
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1378862707741
