what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1379533719499
error,log,,,"CPU master group not set.",1379533719506
error,log,,,"Expected base address of system ID component is undefined.",1379533719514
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719522
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719530
error,log,,,"SOPC design not set.",1379533719538
error,log,,,"CPU module not set.",1379533719545
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533719553
error,log,,,"CPU architecture type not set. ",1379533719562
error,log,,,"CPU master group not set.",1379533719571
error,log,,,"Expected base address of system ID component is undefined.",1379533719578
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719586
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719593
error,log,,,"SOPC design not set.",1379533719602
error,log,,,"CPU module not set.",1379533719609
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533719617
error,log,,,"CPU architecture type not set. ",1379533719626
error,log,,,"CPU master group not set.",1379533719635
error,log,,,"Expected base address of system ID component is undefined.",1379533719641
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719648
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533719655
error,log,,,"SOPC design not set.",1379533719662
error,log,,,"CPU module not set.",1379533719669
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533719678
error,log,,,"CPU architecture type not set. ",1379533719686
