what,kind,bundleId,bundleVersion,description,time
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533712771
error,log,,,"SOPC design not set.",1379533712779
error,log,,,"CPU module not set.",1379533712786
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533712794
error,log,,,"CPU architecture type not set. ",1379533712802
error,log,,,"CPU master group not set.",1379533712811
error,log,,,"Expected base address of system ID component is undefined.",1379533712819
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533712827
error,log,,,"SOPC design not set.",1379533714348
error,log,,,"CPU module not set.",1379533714356
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533714363
error,log,,,"CPU architecture type not set. ",1379533714370
error,log,,,"CPU master group not set.",1379533714377
error,log,,,"Expected base address of system ID component is undefined.",1379533714384
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533714392
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533714399
error,log,,,"SOPC design not set.",1379533714406
error,log,,,"CPU module not set.",1379533714413
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1379533714420
error,log,,,"CPU architecture type not set. ",1379533714427
error,log,,,"CPU master group not set.",1379533714435
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533714445
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1379533714452
error,log,,,"SOPC design not set.",1379533714459
error,log,,,"CPU module not set.",1379533714466
